vehicleId: 0; start (220;100); startTime: 42372; now (10;100); timecount: 42587; boxId: B45, ;PL
vehicleId: 1; start (1010;100); startTime: 42533; now (720;100); timecount: 42828; boxId: B247, B246, ;PU
vehicleId: 1; start (720;100); startTime: 42828; now (1090;100); timecount: 43203; boxId: B247, B246, ;PL
vehicleId: 0; start (10;100); startTime: 42587; now (720;100); timecount: 43302; boxId: B245, ;PU
vehicleId: 1; start (1090;100); startTime: 43203; now (720;100); timecount: 43578; boxId: B244, ;PU
vehicleId: 0; start (720;100); startTime: 43302; now (1090;100); timecount: 43677; boxId: B245, ;PL
vehicleId: 0; start (1090;100); startTime: 43678; now (610;100); timecount: 44163; boxId: B107, ;PU
vehicleId: 0; start (610;100); startTime: 44163; now (720;100); timecount: 44278; boxId: B107, ;PL
vehicleId: 1; start (720;100); startTime: 43578; now (0;100); timecount: 44303; boxId: B244, ;PL
vehicleId: 0; start (720;100); startTime: 44278; now (610;100); timecount: 44393; boxId: B200, ;PU
vehicleId: 1; start (0;100); startTime: 44304; now (240;100); timecount: 44549; boxId: B54, B53, ;PU
vehicleId: 1; start (240;100); startTime: 44549; now (220;100); timecount: 44574; boxId: B54, B53, ;PL
vehicleId: 1; start (220;100); startTime: 44574; now (240;100); timecount: 44599; boxId: B52, ;PU
vehicleId: 1; start (240;100); startTime: 44599; now (10;100); timecount: 44834; boxId: B52, ;PL
vehicleId: 0; start (610;100); startTime: 44393; now (10;100); timecount: 44998; boxId: B200, ;PL
vehicleId: 0; start (10;100); startTime: 44999; now (640;100); timecount: 45634; boxId: B215, B214, ;PU
vehicleId: 1; start (10;100); startTime: 44834; now (980;100); timecount: 45809; boxId: B350, ;PU
vehicleId: 0; start (640;100); startTime: 45634; now (240;100); timecount: 46039; boxId: B215, B214, ;PL
vehicleId: 0; start (240;100); startTime: 46039; now (640;100); timecount: 46444; boxId: B213, B212, ;PU
vehicleId: 1; start (980;100); startTime: 45809; now (10;100); timecount: 46784; boxId: B350, ;PL
vehicleId: 0; start (640;100); startTime: 46444; now (0;100); timecount: 47089; boxId: B213, B212, ;PL
vehicleId: 1; start (10;100); startTime: 46785; now (580;100); timecount: 47360; boxId: B190, ;PU
vehicleId: 1; start (580;100); startTime: 47360; now (610;100); timecount: 47395; boxId: B190, ;PL
vehicleId: 1; start (610;100); startTime: 47396; now (880;100); timecount: 47671; boxId: B311, B310, ;PU
vehicleId: 0; start (0;100); startTime: 47089; now (580;100); timecount: 47674; boxId: B189, B188, ;PU
vehicleId: 1; start (880;100); startTime: 47671; now (640;100); timecount: 47916; boxId: B311, B310, ;PL
vehicleId: 1; start (640;100); startTime: 47916; now (880;100); timecount: 48161; boxId: B309, ;PU
vehicleId: 0; start (580;100); startTime: 47674; now (10;100); timecount: 48249; boxId: B189, B188, ;PL
vehicleId: 1; start (880;100); startTime: 48161; now (0;100); timecount: 49046; boxId: B309, ;PL
vehicleId: 0; start (10;100); startTime: 48249; now (920;100); timecount: 49164; boxId: B327, B326, ;PU
vehicleId: 1; start (0;100); startTime: 49047; now (310;100); timecount: 49362; boxId: B83, ;PU
vehicleId: 1; start (310;100); startTime: 49362; now (580;100); timecount: 49637; boxId: B83, ;PL
vehicleId: 1; start (580;100); startTime: 49637; now (310;100); timecount: 49912; boxId: B82, ;PU
vehicleId: 0; start (920;100); startTime: 49164; now (10;100); timecount: 50079; boxId: B327, B326, ;PL
vehicleId: 1; start (310;100); startTime: 49912; now (10;100); timecount: 50217; boxId: B82, ;PL
vehicleId: 0; start (10;100); startTime: 50080; now (620;100); timecount: 50695; boxId: B207, B206, ;PU
vehicleId: 0; start (620;100); startTime: 50695; now (560;100); timecount: 50760; boxId: B207, B206, ;PL
vehicleId: 1; start (10;100); startTime: 50217; now (620;100); timecount: 50832; boxId: B205, ;PU
vehicleId: 0; start (560;100); startTime: 50760; now (620;100); timecount: 50833; boxId: B204, ;PU
vehicleId: 1; start (620;100); startTime: 50832; now (560;100); timecount: 50897; boxId: B205, ;PL
vehicleId: 1; start (560;100); startTime: 50898; now (110;100); timecount: 51353; boxId: B109, B111, ;PU
vehicleId: 0; start (620;100); startTime: 50833; now (0;100); timecount: 51458; boxId: B204, ;PL
vehicleId: 0; start (0;100); startTime: 51458; now (110;100); timecount: 51573; boxId: B110, ;PU
vehicleId: 1; start (110;100); startTime: 51353; now (620;100); timecount: 51868; boxId: B109, B111, ;PL
vehicleId: 0; start (110;100); startTime: 51573; now (620;100); timecount: 52088; boxId: B110, ;PL
vehicleId: 1; start (620;100); startTime: 51868; now (110;100); timecount: 52383; boxId: B3, B2, ;PU
vehicleId: 1; start (110;100); startTime: 52383; now (10;100); timecount: 52488; boxId: B3, B2, ;PL
vehicleId: 0; start (620;100); startTime: 52089; now (130;100); timecount: 52584; boxId: B11, B10, ;PU
vehicleId: 1; start (10;100); startTime: 52488; now (130;100); timecount: 52613; boxId: B9, ;PU
vehicleId: 0; start (130;100); startTime: 52584; now (580;100); timecount: 53039; boxId: B11, B10, ;PL
vehicleId: 1; start (130;100); startTime: 52613; now (580;100); timecount: 53068; boxId: B9, ;PL
vehicleId: 0; start (580;100); startTime: 53039; now (130;100); timecount: 53494; boxId: B8, ;PU
vehicleId: 1; start (580;100); startTime: 53069; now (120;100); timecount: 53534; boxId: B7, ;PU
vehicleId: 1; start (120;100); startTime: 53534; now (130;100); timecount: 53549; boxId: B7, ;PL
vehicleId: 1; start (130;100); startTime: 53549; now (120;100); timecount: 53564; boxId: B6, ;PU
vehicleId: 0; start (130;100); startTime: 53494; now (0;100); timecount: 53629; boxId: B8, ;PL
vehicleId: 1; start (120;100); startTime: 53564; now (10;100); timecount: 53679; boxId: B6, ;PL
vehicleId: 1; start (10;100); startTime: 53680; now (770;100); timecount: 54445; boxId: B267, ;PU
vehicleId: 0; start (0;100); startTime: 53629; now (890;100); timecount: 54524; boxId: B315, ;PU
vehicleId: 1; start (770;100); startTime: 54445; now (130;100); timecount: 55090; boxId: B267, ;PL
vehicleId: 0; start (890;100); startTime: 54524; now (10;100); timecount: 55409; boxId: B315, ;PL
vehicleId: 1; start (130;100); startTime: 55090; now (770;100); timecount: 55735; boxId: B266, ;PU
vehicleId: 0; start (10;100); startTime: 55410; now (690;100); timecount: 56095; boxId: B235, B234, ;PU
vehicleId: 0; start (690;100); startTime: 56095; now (610;100); timecount: 56180; boxId: B235, B234, ;PL
vehicleId: 0; start (610;100); startTime: 56180; now (690;100); timecount: 56265; boxId: B233, ;PU
vehicleId: 0; start (690;100); startTime: 56265; now (610;100); timecount: 56350; boxId: B233, ;PL
vehicleId: 0; start (610;100); startTime: 56350; now (690;100); timecount: 56435; boxId: B232, ;PU
vehicleId: 1; start (770;100); startTime: 55735; now (10;100); timecount: 56500; boxId: B266, ;PL
vehicleId: 0; start (690;100); startTime: 56435; now (10;100); timecount: 57120; boxId: B232, ;PL
vehicleId: 1; start (10;100); startTime: 56501; now (760;100); timecount: 57256; boxId: B263, B262, ;PU
vehicleId: 1; start (760;100); startTime: 57256; now (690;100); timecount: 57331; boxId: B263, B262, ;PL
vehicleId: 0; start (10;100); startTime: 57120; now (760;100); timecount: 57875; boxId: B261, ;PU
vehicleId: 1; start (690;100); startTime: 57331; now (760;100); timecount: 57876; boxId: B260, ;PU
vehicleId: 0; start (760;100); startTime: 57875; now (690;100); timecount: 57950; boxId: B261, ;PL
vehicleId: 0; start (690;100); startTime: 57951; now (870;100); timecount: 58136; boxId: B307, B306, ;PU
vehicleId: 0; start (870;100); startTime: 58136; now (760;100); timecount: 58251; boxId: B307, B306, ;PL
vehicleId: 0; start (760;100); startTime: 58251; now (870;100); timecount: 58366; boxId: B305, ;PU
vehicleId: 0; start (870;100); startTime: 58366; now (760;100); timecount: 58481; boxId: B305, ;PL
vehicleId: 0; start (760;100); startTime: 58481; now (870;100); timecount: 58596; boxId: B304, ;PU
vehicleId: 1; start (760;100); startTime: 57876; now (0;100); timecount: 58641; boxId: B260, ;PL
vehicleId: 1; start (0;100); startTime: 58642; now (420;100); timecount: 59067; boxId: B127, B126, ;PU
vehicleId: 0; start (870;100); startTime: 58596; now (0;100); timecount: 59471; boxId: B304, ;PL
vehicleId: 1; start (420;100); startTime: 59067; now (870;100); timecount: 59522; boxId: B127, B126, ;PL
vehicleId: 0; start (0;100); startTime: 59471; now (420;100); timecount: 59896; boxId: B125, ;PU
